time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_C0,Current_temp_C1,Current_temp_C2,Current_temp_C3,Current_temp_C4,Current_temp_C5,Current_temp_C6,Current_temp_C7_Ableiterplus,Target_temp_C0,Target_temp_C1,Target_temp_C2,Target_temp_C3,Target_temp_C4,Target_temp_C5,Target_temp_C6,Target_temp_C7_Ableiterplus,kp_C0,kp_C1,kp_C2,kp_C3,kp_C4,kp_C5,kp_C6,kp_C7_Ableiterplus,ki_C0,ki_C1,ki_C2,ki_C3,ki_C4,ki_C5,ki_C6,ki_C7_Ableiterplus,kd_C0,kd_C1,kd_C2,kd_C3,kd_C4,kd_C5,kd_C6,kd_C7_Ableiterplus,Output_C0,Output_C1,Output_C2,Output_C3,Output_C4,Output_C5,Output_C6,Output_C7_Ableiterplus,BaSyTec Line.Loop_C0,BaSyTec Line.Loop_C1,BaSyTec Line.Loop_C2,BaSyTec Line.Loop_C3,BaSyTec Line.Loop_C4,BaSyTec Line.Loop_C5,BaSyTec Line.Loop_C6,BaSyTec Line.Loop_C7_Ableiterplus
20250128 _164538,45685.6983671528,1738082738.92294,00:00:00,25.01,25,25,25.01,25.01,25,24.68,24.91,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.84,10.24,10.55,10.6,10.53,8.21,21.35,23.21,.,.,.,.,.,.,.,.
20250128 _164539,45685.6983787384,1738082739.92307,00:00:00,25.01,24.99,24.99,25,25,25,24.78,24.93,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.67,12.23,10.77,12.49,12.42,9.98,10.15,23.03,.,.,.,.,.,.,.,.
20250128 _164540,45685.6983903704,1738082740.92853,00:00:00,25,24.99,24.99,24.99,24.99,25,25.12,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.84,10.53,10.94,10.98,12.78,9.98,-2.35,14.51,.,.,.,.,.,.,.,.
20250128 _164541,45685.6984021065,1738082741.94289,00:00:00,24.99,25,25,24.99,24.99,25,25.32,25.05,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.22,8.6,9.13,13,11.07,9.98,-1.88,-5.61,.,.,.,.,.,.,.,.
20250128 _164542,45685.6984139352,1738082742.96449,00:00:00,24.99,25.01,25,25,25.01,25,25.14,25.1,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.44,10.12,10.69,11,10.64,9.84,12.08,0.16,.,.,.,.,.,.,.,.
20250128 _164543,45685.6984256597,1738082743.9779,00:00:00,25,25.01,25.01,25.01,25.01,25,24.8,24.97,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,8.2,10.07,10.56,8.92,10.34,9.81,24.65,17.98,.,.,.,.,.,.,.,.
20250128 _164544,45685.6984372569,1738082744.97985,00:00:00,25.01,25,25,25.01,25,24.99,24.69,24.89,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.76,10.25,10.63,10.57,10.61,11.8,19.63,19.48,.,.,.,.,.,.,.,.
20250128 _164545,45685.6984488542,1738082745.98107,00:00:00,25.01,24.99,24.99,25,24.99,24.99,24.85,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.7,10.48,10.85,10.75,10.95,10.28,5.18,23.96,.,.,.,.,.,.,.,.
20250128 _164546,45685.6984606019,1738082746.99636,00:00:00,25.01,24.99,24.99,24.99,24.99,24.99,25.21,24.96,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.74,10.53,11.03,11.23,11.15,10.25,-3.44,4.09,.,.,.,.,.,.,.,.
20250128 _164548,45685.6984723148,1738082748.00821,00:00:00,24.99,25,25,24.99,25,25.01,25.3,25.1,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.1,10.35,10.85,11.21,10.89,9.82,0.14,-9,.,.,.,.,.,.,.,.
20250128 _164549,45685.698483912,1738082749.01086,00:00:00,24.99,25,25.01,25,25.01,25.01,25.05,25.06,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.29,11.97,10.63,10.93,10.41,9.75,17.69,8.5,.,.,.,.,.,.,.,.
20250128 _164550,45685.6984956829,1738082750.02741,00:00:00,25,25,25.01,25.01,25.01,25,24.74,24.91,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.1,10.17,10.48,10.54,10.42,10.05,25.35,23.64,.,.,.,.,.,.,.,.
20250128 _164551,45685.6985072685,1738082751.02873,00:00:00,25.01,25,25,25.01,24.99,24.99,24.72,24.92,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.69,10.39,12.3,10.55,10.84,10.32,16.51,10.34,.,.,.,.,.,.,.,.
20250128 _164552,45685.6985190046,1738082752.04244,00:00:00,25.01,24.99,24.99,25,24.99,24.99,24.94,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.76,10.53,12.51,10.85,11.12,10.27,4.6,17.34,.,.,.,.,.,.,.,.
20250128 _164553,45685.6985305787,1738082753.04215,00:00:00,24.99,25,24.99,24.99,24.99,25,25.27,25.03,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,12.05,10.47,10.9,11.24,9.31,10.08,-5.87,-2.39,.,.,.,.,.,.,.,.
20250128 _164554,45685.6985423148,1738082754.05636,00:00:00,24.99,25,25,24.99,25.01,25.01,25.27,25.12,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.29,10.26,10.72,11.35,8.85,9.82,5.93,-4.63,.,.,.,.,.,.,.,.
20250128 _164555,45685.6985540856,1738082755.07385,00:00:00,25,25,25.01,25,25.01,25.01,24.97,25,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.11,10.12,12.23,11.06,10.36,9.74,20.41,12.78,.,.,.,.,.,.,.,.
20250128 _164556,45685.698565787,1738082756.08491,00:00:00,25.01,25,25.01,25.01,25,24.99,24.69,24.89,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.71,10.19,10.52,10.69,10.75,11.83,25.27,23.15,.,.,.,.,.,.,.,.
20250128 _164557,45685.6985775,1738082757.09619,00:00:00,25.01,25,24.99,25.01,24.99,24.99,24.79,24.98,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,11.57,10.28,12.5,10.61,11.13,10.34,12.38,1.31,.,.,.,.,.,.,.,.
20250128 _164558,45685.6985891782,1738082758.10511,00:00:00,24.99,25,24.99,25,24.99,25,25.05,24.94,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.81,8.64,9.22,10.78,11.08,10.17,-1.7,8.72,.,.,.,.,.,.,.,.
20250128 _164559,45685.698600787,1738082759.10828,00:00:00,24.99,24.99,25,24.99,25,25.01,25.31,25.08,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.21,10.55,10.81,11.02,10.78,9.84,-3.16,-8.19,.,.,.,.,.,.,.,.
20250128 _164600,45685.6986124653,1738082760.11792,00:00:00,24.99,25,25.01,24.99,25.01,25.01,25.2,25.09,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.44,8.5,10.6,9.34,10.52,9.76,10.25,3.45,.,.,.,.,.,.,.,.
20250128 _164601,45685.6986240625,1738082761.11982,00:00:00,25,25.01,25.01,25,25.01,25,24.87,24.94,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.13,10.1,10.56,11,10.56,11.61,24.31,20.61,.,.,.,.,.,.,.,.
20250128 _164602,45685.6986357176,1738082762.12638,00:00:00,25.01,25,25,25.01,24.99,24.99,24.68,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,7.65,10.15,10.62,10.76,10.88,10.29,21.8,17.86,.,.,.,.,.,.,.,.
20250128 _164603,45685.6986474537,1738082763.14008,00:00:00,25.01,25,24.99,25.01,24.99,24.99,24.81,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.66,12.12,10.85,10.71,11.03,10.35,9.26,17.97,.,.,.,.,.,.,.,.
