time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_D0,Current_temp_D1,Current_temp_D2,Current_temp_D3,Current_temp_D4,Current_temp_D5,Current_temp_D6,Current_temp_D7_Ableiter-/Heater,Target_temp_D0,Target_temp_D1,Target_temp_D2,Target_temp_D3,Target_temp_D4,Target_temp_D5,Target_temp_D6,Target_temp_D7_Ableiter-/Heater,kp_D0,kp_D1,kp_D2,kp_D3,kp_D4,kp_D5,kp_D6,kp_D7_Ableiter-/Heater,ki_D0,ki_D1,ki_D2,ki_D3,ki_D4,ki_D5,ki_D6,ki_D7_Ableiter-/Heater,kd_D0,kd_D1,kd_D2,kd_D3,kd_D4,kd_D5,kd_D6,kd_D7_Ableiter-/Heater,Output_D0,Output_D1,Output_D2,Output_D3,Output_D4,Output_D5,Output_D6,Output_D7_Ableiter-/Heater,BaSyTec Line.Loop_D0,BaSyTec Line.Loop_D1,BaSyTec Line.Loop_D2,BaSyTec Line.Loop_D3,BaSyTec Line.Loop_D4,BaSyTec Line.Loop_D5,BaSyTec Line.Loop_D6,BaSyTec Line.Loop_D7_Ableiter-/Heater
20250128 _170820,45685.714124213,1738084100.33232,00:00:00,25,25,24.99,25,25,24.99,24.99,25.16,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.34,12.18,10.47,10.98,11.09,12,10.06,-24.27,.,.,.,.,.,.,.,.
20250128 _170821,45685.7141359259,1738084101.34468,00:00:00,24.99,25,25.01,24.99,25,25,24.99,24.88,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.69,12.21,8.37,11.31,11.09,8.16,10.23,-1.98,.,.,.,.,.,.,.,.
20250128 _170822,45685.7141475,1738084102.34473,00:00:00,24.99,24.99,25.01,24.99,25,25,25,25.03,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.77,12.36,10.1,11.36,11.21,9.87,10.07,7.57,.,.,.,.,.,.,.,.
20250128 _170823,45685.7141590856,1738084103.34565,00:00:00,25,25,25,25,25,25,25,25.02,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.48,12.29,10.17,11.29,11.09,9.84,11.8,-19.44,.,.,.,.,.,.,.,.
20250128 _170824,45685.7141707176,1738084104.35049,00:00:00,25.01,25,24.99,25,25.01,25,25.01,25.14,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,8.46,12.05,12.17,11.2,10.97,9.82,9.84,-32.95,.,.,.,.,.,.,.,.
20250128 _170825,45685.7141823148,1738084105.3527,00:00:00,25.01,25.01,24.99,25,25,25,25.01,24.84,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.19,11.89,10.55,11.19,11.06,11.75,9.82,17.81,.,.,.,.,.,.,.,.
20250128 _170826,45685.7141940509,1738084106.3661,00:00:00,25,25,25,25,25,24.99,25,25.11,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,12.28,14.03,10.38,11.17,11.18,10.13,9.91,-14.13,.,.,.,.,.,.,.,.
20250128 _170827,45685.7142057407,1738084107.376,00:00:00,24.99,25,25,25,25,24.99,25,24.97,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.75,12.09,10.25,11.14,11.21,10.18,8.09,-12.01,.,.,.,.,.,.,.,.
20250128 _170828,45685.7142174537,1738084108.38876,00:00:00,24.99,25,25.01,25,25,25,25,25.13,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.81,12.22,10.11,11.02,11.11,10.1,9.9,-31.34,.,.,.,.,.,.,.,.
20250128 _170829,45685.7142291898,1738084109.40263,00:00:00,25,25,25.01,25,25,25,25.01,24.85,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.53,12.26,8.3,9.27,11.11,9.89,9.89,20.39,.,.,.,.,.,.,.,.
20250128 _170830,45685.7142407986,1738084110.40509,00:00:00,25.01,25,25,25,25,25,25.01,25.14,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.27,12.04,10.28,11.19,11.1,11.83,9.75,-22.71,.,.,.,.,.,.,.,.
20250128 _170831,45685.7142523843,1738084111.40619,00:00:00,25.01,25.01,24.99,24.99,25,25,25,24.86,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.19,11.89,10.43,11.45,11.09,9.86,9.82,13.81,.,.,.,.,.,.,.,.
20250128 _170832,45685.7142639931,1738084112.40987,00:00:00,25,25,25,25,25,25.01,24.99,25.08,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.37,12.09,10.36,11.3,11.09,9.73,10.05,-7.64,.,.,.,.,.,.,.,.
20250128 _170833,45685.7142756134,1738084113.41334,00:00:00,24.99,25,25,25,25.01,25.01,24.99,24.95,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.73,12.09,10.36,11.08,9.06,7.86,10.2,13.27,.,.,.,.,.,.,.,.
20250128 _170834,45685.7142873495,1738084114.42744,00:00:00,24.99,25,25.01,25,25,25,24.99,25.09,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.81,12.23,10.11,11.05,11.05,9.87,10.16,-29.3,.,.,.,.,.,.,.,.
20250128 _170835,45685.7142990972,1738084115.44215,00:00:00,25,25,25,25,24.99,24.99,25,24.87,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.52,12.26,10.18,11.03,11.28,10.1,9.97,17.63,.,.,.,.,.,.,.,.
20250128 _170836,45685.7143106944,1738084116.44429,00:00:00,25.01,25,24.99,25,24.99,24.99,25.01,25.13,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.27,12.02,10.29,11,11.33,10.14,9.83,-24.87,.,.,.,.,.,.,.,.
20250128 _170837,45685.7143224421,1738084117.45983,00:00:00,25.01,25.01,24.99,25,25,25,25.01,24.87,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.31,11.85,12.32,12.91,11.25,9.96,9.8,7.36,.,.,.,.,.,.,.,.
20250128 _170838,45685.7143341551,1738084118.47164,00:00:00,25,25,25,25,25,25,25,25.09,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.4,11.92,8.57,11.22,11.15,11.81,10.01,-13.44,.,.,.,.,.,.,.,.
20250128 _170839,45685.7143458796,1738084119.48414,00:00:00,24.99,25,25,25,25,25,25,24.97,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.63,12.04,10.23,11.24,11.27,9.85,10.03,15.5,.,.,.,.,.,.,.,.
20250128 _170840,45685.7143576273,1738084120.49963,00:00:00,24.99,25,25.01,25,25,25,25,25.07,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.68,12.18,8.32,12.86,11.17,9.83,9.94,-25.92,.,.,.,.,.,.,.,.
20250128 _170841,45685.7143692245,1738084121.50142,00:00:00,25,25,25,25,25,25,25.01,24.89,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.49,12.21,10.29,11.01,11.16,9.91,9.8,17.28,.,.,.,.,.,.,.,.
20250128 _170842,45685.7143807986,1738084122.50138,00:00:00,25.01,25,24.99,25,25.01,25,25.01,25.12,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.23,12.24,10.43,11.09,11.03,10.03,9.77,-19.39,.,.,.,.,.,.,.,.
20250128 _170843,45685.7143924306,1738084123.5062,00:00:00,25.01,25,25,25,25.01,25,25,24.89,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.29,12.15,8.57,11.2,11,9.94,9.98,10.76,.,.,.,.,.,.,.,.
20250128 _170844,45685.7144041782,1738084124.52109,00:00:00,25,25.01,25,25,25.01,25,24.99,25.01,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.49,9.97,10.24,11.22,10.97,9.83,10.12,-19.5,.,.,.,.,.,.,.,.
20250128 _170845,45685.7144157639,1738084125.52282,00:00:00,24.99,25.01,25.01,25,24.99,25,25,24.95,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.64,11.72,10.08,11.13,11.31,9.81,8.12,11.3,.,.,.,.,.,.,.,.
20250128 _170846,45685.714427338,1738084126.52268,00:00:00,25,25,25,25,24.99,25,25.01,25.09,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.57,11.89,10.14,11,11.36,9.89,9.8,-24.45,.,.,.,.,.,.,.,.
20250128 _170847,45685.7144390741,1738084127.53612,00:00:00,25.01,24.99,25,25,25,24.99,25.01,24.89,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.34,12.27,10.25,12.78,11.28,10.12,9.75,17.39,.,.,.,.,.,.,.,.
20250128 _170848,45685.7144508102,1738084128.55015,00:00:00,25.01,24.99,24.99,25,25,25,25,25.11,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.29,12.35,10.39,11.18,11.16,8.22,11.76,-16.89,.,.,.,.,.,.,.,.
20250128 _170849,45685.7144624074,1738084129.5526,00:00:00,25,25,25,24.99,25.01,25,24.99,25.02,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.38,12.15,10.29,11.32,11.02,9.97,11.9,2.01,.,.,.,.,.,.,.,.
20250128 _170850,45685.7144740972,1738084130.56279,00:00:00,25,25.01,25.01,25,25.01,25,25,25.07,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.37,11.75,8.14,11.13,10.99,9.84,8.17,-21.93,.,.,.,.,.,.,.,.
20250128 _170851,45685.7144856944,1738084131.56452,00:00:00,25,25.01,25.01,25.01,25,25,25,24.9,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.37,11.79,9.96,9.18,11.07,11.63,9.9,16.53,.,.,.,.,.,.,.,.
20250128 _170852,45685.7144972685,1738084132.56491,00:00:00,25,25,25,25,25,25,25.01,25.14,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.36,12.12,10.17,11.07,11.2,9.77,9.76,-26.73,.,.,.,.,.,.,.,.
20250128 _170853,45685.7145090162,1738084133.57957,00:00:00,25,24.99,24.99,25,25,25,25.01,24.87,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,12.13,12.3,10.32,11.18,11.22,9.87,9.58,7.99,.,.,.,.,.,.,.,.
20250128 _170854,45685.7145207639,1738084134.59474,00:00:00,25,25,25,25,25.01,25,25,24.99,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.32,12.22,10.23,11.2,10.99,9.88,9.77,-13.67,.,.,.,.,.,.,.,.
20250128 _170855,45685.7145323611,1738084135.59647,00:00:00,25,25.01,25.01,25,25.01,25,25,24.95,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.31,11.85,9.99,11.1,10.83,9.76,9.89,16.65,.,.,.,.,.,.,.,.
20250128 _170856,45685.7145439815,1738084136.60094,00:00:00,25,25.01,25,25.01,25,25.01,25,25.11,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,8.52,11.65,8.29,10.96,11.01,9.62,8.09,-30.51,.,.,.,.,.,.,.,.
20250128 _170857,45685.7145557176,1738084137.61418,00:00:00,25,25,24.99,25.01,24.99,25,25.01,24.85,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.32,13.89,10.31,10.8,11.26,9.68,9.7,20.19,.,.,.,.,.,.,.,.
20250128 _170858,45685.7145674421,1738084138.62716,00:00:00,25,24.99,24.99,25,24.99,25,25.01,25.16,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.31,12.2,10.35,11.09,13.21,11.72,9.67,-22.32,.,.,.,.,.,.,.,.
20250128 _170859,45685.7145791782,1738084139.64131,00:00:00,25.01,24.99,25.01,24.99,25.01,24.99,25,24.86,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.19,12.26,8.25,11.23,10.96,10.02,9.75,10.11,.,.,.,.,.,.,.,.
20250128 _170900,45685.7145907639,1738084140.64233,00:00:00,25.01,25,25.01,25,25.01,25,25,25.03,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.16,12.06,9.98,11.04,10.8,9.84,9.87,-26.97,.,.,.,.,.,.,.,.
20250128 _170901,45685.7146025,1738084141.65654,00:00:00,25,25.01,25.01,25.01,25.01,25.01,25,24.92,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.35,11.67,9.91,10.93,10.87,7.78,10.01,16.72,.,.,.,.,.,.,.,.
20250128 _170902,45685.7146143866,1738084142.68312,00:00:00,24.99,25.01,24.99,25.01,25,25,25,25.12,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.5,11.71,10.24,10.77,11.1,9.67,9.81,-33.09,.,.,.,.,.,.,.,.
20250128 _170903,45685.714626088,1738084143.69461,00:00:00,24.99,25,24.99,25,25,25,25.01,24.85,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,12.46,12.03,10.41,10.83,11.13,9.89,9.55,21.22,.,.,.,.,.,.,.,.
20250128 _170904,45685.7146376852,1738084144.69657,00:00:00,25,24.99,25,25,25,25,25.01,25.16,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.48,12.32,10.23,11.04,11.03,9.91,9.61,-26.02,.,.,.,.,.,.,.,.
20250128 _170905,45685.7146494676,1738084145.71489,00:00:00,25.01,24.99,25.01,24.99,25.01,25,25,24.85,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.25,12.28,9.99,11.19,10.76,9.83,9.81,12.95,.,.,.,.,.,.,.,.
20250128 _170906,45685.7146612037,1738084146.7283,00:00:00,25.01,25,25.01,25,25.01,25.01,25,24.97,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.23,12.07,8.19,9.29,8.81,9.6,9.83,-11.7,.,.,.,.,.,.,.,.
20250128 _170907,45685.7146729514,1738084147.74313,00:00:00,25,25.01,25,25.01,25,25,24.99,24.98,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.3,11.66,10.17,10.78,10.91,11.47,9.97,12.88,.,.,.,.,.,.,.,.
20250128 _170908,45685.714684537,1738084148.7441,00:00:00,25,25.01,24.99,25,25,25,25,25.09,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,8.63,11.7,10.31,10.83,9.14,9.84,9.91,-29.05,.,.,.,.,.,.,.,.
20250128 _170909,45685.7146962616,1738084149.75708,00:00:00,25,25,25,25,25,25,25,24.87,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.44,13.96,10.22,11.02,9.19,9.87,8.01,16.54,.,.,.,.,.,.,.,.
20250128 _170910,45685.7147079282,1738084150.76504,00:00:00,25,24.99,25.01,24.99,25,25,25.01,25.14,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.34,12.32,9.99,13,11,9.79,9.69,-24.98,.,.,.,.,.,.,.,.
20250128 _170911,45685.7147195602,1738084151.77091,00:00:00,25,24.99,25,24.99,25,25,25.01,25.07,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.34,12.37,9.95,11.22,12.89,7.83,9.66,-5.68,.,.,.,.,.,.,.,.
20250128 _170912,45685.7147311806,1738084152.77441,00:00:00,25,25,24.99,25,25,25,25,24.98,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.33,12.06,10.28,9.21,11.08,9.65,9.85,-18.3,.,.,.,.,.,.,.,.
20250128 _170913,45685.7147428356,1738084153.78139,00:00:00,25,25.01,24.99,25,24.99,25,24.99,24.97,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.32,11.79,10.45,10.91,11.35,9.86,9.99,9.26,.,.,.,.,.,.,.,.
20250128 _170914,45685.7147545602,1738084154.7948,00:00:00,25,25,25,25,24.99,24.99,25,25.08,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.31,11.86,10.27,12.82,11.31,11.94,9.92,-28.13,.,.,.,.,.,.,.,.
20250128 _170915,45685.7147662963,1738084155.80861,00:00:00,25,24.99,25,24.99,25,25,25,24.87,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.3,14.17,10.15,13.06,11.12,8.13,9.82,18.57,.,.,.,.,.,.,.,.
20250128 _170916,45685.7147780093,1738084156.8202,00:00:00,25,24.99,25.01,24.99,25,25,25.01,24.9,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,12.21,12.39,10.01,11.4,11.11,9.88,9.8,4.94,.,.,.,.,.,.,.,.
20250128 _170917,45685.7147896065,1738084157.82259,00:00:00,25,25,25,25,25,25,25,25.06,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,12.23,10.28,11.98,11.25,11.12,9.75,9.9,1.8,.,.,.,.,.,.,.,.
20250128 _170918,45685.714801331,1738084158.83531,00:00:00,25,25.01,24.99,25,25.01,25,24.99,25,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.44,11.87,10.45,11.04,10.99,9.85,10.06,-12.51,.,.,.,.,.,.,.,.
20250128 _170919,45685.7148131366,1738084159.85591,00:00:00,25,25.01,24.99,25,25.01,24.99,24.99,24.95,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.32,11.81,10.4,11.01,10.96,10.08,10.12,16.63,.,.,.,.,.,.,.,.
20250128 _170920,45685.7148248495,1738084160.8673,00:00:00,25,25,25,25,25,25,25,25.1,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.44,12.02,10.32,12.8,13.05,9.9,9.93,-26.04,.,.,.,.,.,.,.,.
20250128 _170921,45685.7148365741,1738084161.88012,00:00:00,25,25,25,24.99,24.99,25,25.01,24.87,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.46,12.15,10.2,11.3,11.44,9.79,9.81,17.74,.,.,.,.,.,.,.,.
20250128 _170922,45685.7148483102,1738084162.89466,00:00:00,25,25,25,24.99,24.99,25,25,24.91,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.47,10.23,10.17,11.35,11.37,9.78,9.9,3.98,.,.,.,.,.,.,.,.
20250128 _170923,45685.7148600463,1738084163.90883,00:00:00,25,24.99,24.99,25,25.01,25,25,25.05,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.5,12.34,12.17,11.3,11.05,9.99,10.01,2.94,.,.,.,.,.,.,.,.
20250128 _170924,45685.7148716319,1738084164.90925,00:00:00,24.99,25,24.99,25,25.01,24.99,25,25.01,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,12.42,12.28,10.55,11.08,10.9,10.14,9.92,-15.67,.,.,.,.,.,.,.,.
