time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_D0,Current_temp_D1,Current_temp_D2,Current_temp_D3,Current_temp_D4,Current_temp_D5,Current_temp_D6,Current_temp_D7_Ableiter-/Heater,Target_temp_D0,Target_temp_D1,Target_temp_D2,Target_temp_D3,Target_temp_D4,Target_temp_D5,Target_temp_D6,Target_temp_D7_Ableiter-/Heater,kp_D0,kp_D1,kp_D2,kp_D3,kp_D4,kp_D5,kp_D6,kp_D7_Ableiter-/Heater,ki_D0,ki_D1,ki_D2,ki_D3,ki_D4,ki_D5,ki_D6,ki_D7_Ableiter-/Heater,kd_D0,kd_D1,kd_D2,kd_D3,kd_D4,kd_D5,kd_D6,kd_D7_Ableiter-/Heater,Output_D0,Output_D1,Output_D2,Output_D3,Output_D4,Output_D5,Output_D6,Output_D7_Ableiter-/Heater,BaSyTec Line.Loop_D0,BaSyTec Line.Loop_D1,BaSyTec Line.Loop_D2,BaSyTec Line.Loop_D3,BaSyTec Line.Loop_D4,BaSyTec Line.Loop_D5,BaSyTec Line.Loop_D6,BaSyTec Line.Loop_D7_Ableiter-/Heater
20250128 _164538,45685.6983603472,1738082738.33404,00:00:00,25,25,24.99,25,25,25,25.01,25.05,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.28,12.41,10.75,11.33,11.46,10.43,10.49,-33.67,.,.,.,.,.,.,.,.
20250128 _164539,45685.6983721412,1738082739.35373,00:00:00,25,25,25,25,24.99,25,25,24.8,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.17,12.63,8.77,11.52,11.72,8.37,10.56,44.81,.,.,.,.,.,.,.,.
20250128 _164540,45685.6983837616,1738082740.35749,00:00:00,25.01,24.99,25.01,24.99,24.99,25,25,25.27,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.04,12.78,10.4,11.67,13.67,10.18,10.68,-60.05,.,.,.,.,.,.,.,.
20250128 _164541,45685.6983953472,1738082741.3584,00:00:00,25,25,25,25,25,25,24.99,24.7,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.03,12.71,10.46,11.5,11.56,8.3,10.83,51,.,.,.,.,.,.,.,.
20250128 _164542,45685.6984069329,1738082742.3591,00:00:00,25.01,25.01,24.99,25,25,24.99,25,25.32,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,9.22,12.35,10.69,11.37,13.45,12.32,10.76,-49.77,.,.,.,.,.,.,.,.
20250128 _164543,45685.6984185532,1738082743.36393,00:00:00,25.01,25.01,24.99,25,25,24.99,25.01,25.2,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11,12.3,10.72,11.35,11.53,10.51,8.71,-6.24,.,.,.,.,.,.,.,.
20250128 _164544,45685.6984302894,1738082744.37751,00:00:00,25.01,25,25,24.99,25.01,25,25.01,24.85,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.97,12.51,10.65,13.37,11.53,10.44,10.4,3.58,.,.,.,.,.,.,.,.
20250128 _164545,45685.6984419213,1738082745.38259,00:00:00,25,25,25,24.99,25.01,25,25.01,25.07,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.19,12.65,10.54,11.71,11.38,10.23,10.46,19.76,.,.,.,.,.,.,.,.
20250128 _164546,45685.6984535185,1738082746.38409,00:00:00,24.99,25,25.01,25,25,25,25,25.01,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.34,12.68,8.49,11.53,11.47,10.2,10.67,-26.29,.,.,.,.,.,.,.,.
20250128 _164547,45685.6984652083,1738082747.39436,00:00:00,24.99,25,25,25,24.99,25,24.99,24.85,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.39,12.46,10.58,11.4,11.84,10.4,10.82,39.31,.,.,.,.,.,.,.,.
