time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_B0,Current_temp_B1,Current_temp_B2,Current_temp_B3,Current_temp_B4,Current_temp_B5,Current_temp_B6,Current_temp_Ch8,Target_temp_B0,Target_temp_B1,Target_temp_B2,Target_temp_B3,Target_temp_B4,Target_temp_B5,Target_temp_B6,Target_temp_Ch8,kp_B0,kp_B1,kp_B2,kp_B3,kp_B4,kp_B5,kp_B6,kp_Ch8,ki_B0,ki_B1,ki_B2,ki_B3,ki_B4,ki_B5,ki_B6,ki_Ch8,kd_B0,kd_B1,kd_B2,kd_B3,kd_B4,kd_B5,kd_B6,kd_Ch8,Output_B0,Output_B1,Output_B2,Output_B3,Output_B4,Output_B5,Output_B6,Output_Ch8,BaSyTec Line.Loop_B0,BaSyTec Line.Loop_B1,BaSyTec Line.Loop_B2,BaSyTec Line.Loop_B3,BaSyTec Line.Loop_B4,BaSyTec Line.Loop_B5,BaSyTec Line.Loop_B6,BaSyTec Line.Loop_Ch8
20250210 _143928,45698.6107451852,1739198368.38448,00:00:00,25.01,24.98,24.99,24.99,24.99,25.22,24.99,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.04,6.82,8.04,6.21,8.24,0.72,8.32,0,.,.,.,.,.,.,.,.
20250210 _143929,45698.6107568866,1739198369.39545,00:00:00,25,24.99,25,25,25,24.96,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.09,6.76,7.84,6.17,8.2,18.57,8.26,0,.,.,.,.,.,.,.,.
20250210 _143930,45698.6107686227,1739198370.40901,00:00:00,25,25.02,25.01,24.99,25,24.78,25.01,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.16,6.21,7.72,6.26,8.22,12.63,8.04,0,.,.,.,.,.,.,.,.
20250210 _143931,45698.6107803357,1739198371.42101,00:00:00,25,25.01,24.99,24.99,24.99,25.09,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.15,6.3,9.15,6.3,8.32,-3.16,8.23,0,.,.,.,.,.,.,.,.
20250210 _143932,45698.610792037,1739198372.43205,00:00:00,25,24.99,24.99,24.99,25,25.23,24.99,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,5.89,6.75,8.14,6.34,8.29,0.61,10.12,0,.,.,.,.,.,.,.,.
20250210 _143933,45698.6108036806,1739198373.43857,00:00:00,25,24.99,25,25,25.01,24.96,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.17,6.76,7.96,6.21,8.02,18.69,8.31,0,.,.,.,.,.,.,.,.
20250210 _143934,45698.610815544,1739198374.4638,00:00:00,25,25.02,25.01,25.01,25.02,24.78,25.01,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.17,5,7.79,5.93,7.88,12.66,7.99,0,.,.,.,.,.,.,.,.
20250210 _143935,45698.6108272338,1739198375.47319,00:00:00,25,25,25,25,25,25.09,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.08,7.63,7.92,6.02,8.17,-3.43,8.15,0,.,.,.,.,.,.,.,.
20250210 _143936,45698.610838831,1739198376.47552,00:00:00,25,24.98,24.99,25,25,25.2,24.99,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.14,6.88,8.11,6.16,7.3,4.65,8.49,0,.,.,.,.,.,.,.,.
20250210 _143937,45698.6108505787,1739198377.4906,00:00:00,24.99,24.99,24.99,25,25,24.97,24.99,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.31,6.77,8.07,6.1,8.21,16.31,8.43,0,.,.,.,.,.,.,.,.
