time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_A0,Current_temp_A1,Current_temp_A2,Current_temp_A3,Current_temp_A4,Current_temp_A5,Current_temp_A6,Current_temp_A7/A2,Target_temp_A0,Target_temp_A1,Target_temp_A2,Target_temp_A3,Target_temp_A4,Target_temp_A5,Target_temp_A6,Target_temp_A7/A2,kp_A0,kp_A1,kp_A2,kp_A3,kp_A4,kp_A5,kp_A6,kp_A7/A2,ki_A0,ki_A1,ki_A2,ki_A3,ki_A4,ki_A5,ki_A6,ki_A7/A2,kd_A0,kd_A1,kd_A2,kd_A3,kd_A4,kd_A5,kd_A6,kd_A7/A2,Output_A0,Output_A1,Output_A2,Output_A3,Output_A4,Output_A5,Output_A6,Output_A7/A2,BaSyTec Line.Loop_A0,BaSyTec Line.Loop_A1,BaSyTec Line.Loop_A2,BaSyTec Line.Loop_A3,BaSyTec Line.Loop_A4,BaSyTec Line.Loop_A5,BaSyTec Line.Loop_A6,BaSyTec Line.Loop_A7/A2
20250210 _143931,45698.6107801389,1739198371.40489,00:00:00,25,25.07,25,25,25,25.01,24.99,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.84,0,11.35,8.04,11.61,11.31,10.82,9.9,.,.,.,.,.,.,.,.
20250210 _143932,45698.6107918519,1739198372.41695,00:00:00,24.99,25.08,25,25.02,25,25.01,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.1,0,11.36,9.3,11.62,11.25,10.74,9.65,.,.,.,.,.,.,.,.
20250210 _143933,45698.6108035069,1739198373.42391,00:00:00,24.99,25.07,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.15,0,11.37,11.88,11.62,11.55,10.47,9.73,.,.,.,.,.,.,.,.
20250210 _143934,45698.6108153704,1739198374.44823,00:00:00,25,25.07,25,24.98,25,24.99,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.92,0,11.39,10.8,11.76,11.7,10.56,9.97,.,.,.,.,.,.,.,.
20250210 _143935,45698.6108270602,1739198375.45853,00:00:00,25.01,25.07,25,24.98,25,24.99,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.89,0,11.41,10.68,11.78,11.74,10.7,10.01,.,.,.,.,.,.,.,.
20250210 _143936,45698.6108386574,1739198376.46065,00:00:00,24.99,25.07,25,25.02,25,25,24.99,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,12.76,0,11.43,9.54,11.81,11.67,10.9,9.8,.,.,.,.,.,.,.,.
20250210 _143937,45698.6108502315,1739198377.46065,00:00:00,24.99,25.08,25,25.01,25,25,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.16,0,11.35,9.5,11.84,11.58,8.58,9.67,.,.,.,.,.,.,.,.
20250210 _143938,45698.6108619097,1739198378.46996,00:00:00,25,25.07,25.01,24.98,25,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.09,0,11.1,12.84,11.73,11.7,10.52,10,.,.,.,.,.,.,.,.
20250210 _143939,45698.6108736574,1739198379.48465,00:00:00,25,25.06,25.01,24.99,25.01,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.96,0,11.03,10.56,11.47,11.62,10.62,10.17,.,.,.,.,.,.,.,.
20250210 _143940,45698.6108853472,1739198380.49484,00:00:00,25,25.07,25,25.02,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.06,0,11.34,9.41,11.53,11.63,10.92,9.99,.,.,.,.,.,.,.,.
20250210 _143941,45698.6108970255,1739198381.50372,00:00:00,24.99,25.08,25,25.02,25,25,24.99,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.2,0,11.36,9.25,11.63,13.58,10.95,9.87,.,.,.,.,.,.,.,.
20250210 _143942,45698.61090875,1739198382.5161,00:00:00,24.99,25.08,25,24.98,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.26,0,11.27,12.66,11.75,11.75,10.71,9.85,.,.,.,.,.,.,.,.
20250210 _143943,45698.6109204977,1739198383.53104,00:00:00,25,25.08,25,24.98,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.04,0,13.24,10.81,11.78,11.66,10.7,9.83,.,.,.,.,.,.,.,.
20250210 _143944,45698.6109321875,1739198384.54108,00:00:00,25.01,25.07,24.99,25.01,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.89,0,11.51,9.73,11.81,13.62,10.67,9.81,.,.,.,.,.,.,.,.
20250210 _143945,45698.6109438773,1739198385.55105,00:00:00,25,25.06,25,25.02,24.99,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.1,0,11.45,9.39,11.99,11.78,10.67,10.05,.,.,.,.,.,.,.,.
20250210 _143946,45698.6109555556,1739198386.56051,00:00:00,24.99,25.06,25,24.98,25,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.25,0,11.23,10.51,11.78,11.71,10.67,10.12,.,.,.,.,.,.,.,.
20250210 _143947,45698.6109672338,1739198387.56984,00:00:00,24.99,25.07,25,24.98,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.29,0,11.2,10.81,11.65,11.71,10.66,10.02,.,.,.,.,.,.,.,.
20250210 _143948,45698.6109789583,1739198388.5822,00:00:00,25,25.08,25,25.01,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,9.41,0,13.27,9.92,13.72,11.71,10.48,9.91,.,.,.,.,.,.,.,.
20250210 _143949,45698.6109905556,1739198389.58482,00:00:00,25.01,25.07,24.99,25.02,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.92,0,11.54,9.3,11.85,11.84,10.59,9.89,.,.,.,.,.,.,.,.
20250210 _143950,45698.6110022801,1739198390.59715,00:00:00,25,25.07,25,24.99,25,25,24.99,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.01,0,11.35,10.22,11.89,11.64,11.06,9.87,.,.,.,.,.,.,.,.
20250210 _143951,45698.6110138657,1739198391.59872,00:00:00,24.99,25.08,25.01,24.98,25,25.01,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.26,0,11.11,8.67,9.67,11.38,11.02,9.85,.,.,.,.,.,.,.,.
20250210 _143952,45698.6110254398,1739198392.59881,00:00:00,24.99,25.08,25,25,25,25.01,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.28,0,11.17,8.06,11.63,11.45,10.61,9.71,.,.,.,.,.,.,.,.
20250210 _143953,45698.6110371644,1739198393.61189,00:00:00,25,25.07,25,25.02,25,25,25.01,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.07,0,11.38,9.41,11.72,11.63,10.4,9.78,.,.,.,.,.,.,.,.
20250210 _143954,45698.6110487731,1739198394.6147,00:00:00,25.01,25.06,25,25,25,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.92,0,9.56,12.18,11.85,11.63,12.86,10.15,.,.,.,.,.,.,.,.
